# column 1: model
# column 2: total dust mass
t11_p0_q1_oa30_R20_Mcl0.97    4162.41 Msun
t11_p0_q1_oa30_R30_Mcl0.97    9206.05 Msun
t11_p0_q1_oa40_R10_Mcl0.97    1326.09 Msun
t11_p0_q1_oa40_R20_Mcl0.97    5027.31 Msun
t11_p0_q1_oa40_R30_Mcl0.97    11119.1 Msun
t11_p0_q1_oa50_R10_Mcl0.97    1498.29 Msun
t11_p0_q1_oa50_R20_Mcl0.97    5680.51 Msun
t11_p0_q1_oa50_R30_Mcl0.97    12563.4 Msun
t11_p0_q1_oa60_R10_Mcl0.97    1623.27 Msun
t11_p0_q1_oa60_R20_Mcl0.97    6154.49 Msun
t11_p0_q1_oa60_R30_Mcl0.97    13611.9 Msun
t11_p0_q1_oa70_R10_Mcl0.97    1708.03 Msun
t11_p0_q1_oa70_R20_Mcl0.97    6476.24 Msun
t11_p0_q1_oa70_R30_Mcl0.97    14323.1 Msun
t11_p0_q1_oa80_R10_Mcl0.97    1757.22 Msun
t11_p0_q1_oa80_R20_Mcl0.97    6662.66 Msun
t11_p0_q1_oa80_R30_Mcl0.97    14735.9 Msun
t11_p1.5_q0.5_oa10_R10_Mcl0.97    183.036 Msun
t11_p1.5_q0.5_oa10_R20_Mcl0.97    462.689 Msun
t11_p1.5_q0.5_oa10_R30_Mcl0.97    810.267 Msun
t11_p1.5_q0.5_oa20_R10_Mcl0.97    352.077 Msun
t11_p1.5_q0.5_oa20_R20_Mcl0.97    892.823 Msun
t11_p1.5_q0.5_oa20_R30_Mcl0.97    1564.81 Msun
t11_p1.5_q0.5_oa30_R10_Mcl0.97    498.438 Msun
t11_p1.5_q0.5_oa30_R20_Mcl0.97    1265.37 Msun
t11_p1.5_q0.5_oa30_R30_Mcl0.97    2218.31 Msun
t11_p1.5_q0.5_oa40_R10_Mcl0.97    621.095 Msun
t11_p1.5_q0.5_oa40_R20_Mcl0.97    1577.97 Msun
t11_p1.5_q0.5_oa40_R30_Mcl0.97    2767.03 Msun
t11_p1.5_q0.5_oa50_R10_Mcl0.97    720.139 Msun
t11_p1.5_q0.5_oa50_R20_Mcl0.97    1830.11 Msun
t11_p1.5_q0.5_oa50_R30_Mcl0.97    3209.76 Msun
t11_p1.5_q0.5_oa60_R10_Mcl0.97    796.456 Msun
t11_p1.5_q0.5_oa60_R20_Mcl0.97    2024.44 Msun
t11_p1.5_q0.5_oa60_R30_Mcl0.97    3550.67 Msun
t11_p1.5_q0.5_oa70_R10_Mcl0.97    850.358 Msun
t11_p1.5_q0.5_oa70_R20_Mcl0.97    2162.06 Msun
t11_p1.5_q0.5_oa70_R30_Mcl0.97    3791.9 Msun
t11_p1.5_q0.5_oa80_R10_Mcl0.97    882.461 Msun
t11_p1.5_q0.5_oa80_R20_Mcl0.97    2244.58 Msun
t11_p1.5_q0.5_oa80_R30_Mcl0.97    3936.9 Msun
t11_p1.5_q0_oa10_R10_Mcl0.97    190.854 Msun
t11_p1.5_q0_oa10_R20_Mcl0.97    482.403 Msun
t11_p1.5_q0_oa10_R30_Mcl0.97    844.761 Msun
t11_p1.5_q0_oa20_R10_Mcl0.97    382.545 Msun
t11_p1.5_q0_oa20_R20_Mcl0.97    969.941 Msun
t11_p1.5_q0_oa20_R30_Mcl0.97    1699.81 Msun
t11_p1.5_q0_oa30_R10_Mcl0.97    562.638 Msun
t11_p1.5_q0_oa30_R20_Mcl0.97    1428.21 Msun
t11_p1.5_q0_oa30_R30_Mcl0.97    2503.73 Msun
t11_p1.5_q0_oa40_R10_Mcl0.97    725.43 Msun
t11_p1.5_q0_oa40_R20_Mcl0.97    1842.82 Msun
t11_p1.5_q0_oa40_R30_Mcl0.97    3231.4 Msun
t11_p1.5_q0_oa50_R10_Mcl0.97    865.993 Msun
t11_p1.5_q0_oa50_R20_Mcl0.97    2200.79 Msun
t11_p1.5_q0_oa50_R30_Mcl0.97    3859.47 Msun
t11_p1.5_q0_oa60_R10_Mcl0.97    980.534 Msun
t11_p1.5_q0_oa60_R20_Mcl0.97    2492.45 Msun
t11_p1.5_q0_oa60_R30_Mcl0.97    4371.32 Msun
t11_p1.5_q0_oa70_R10_Mcl0.97    1064.93 Msun
t11_p1.5_q0_oa70_R20_Mcl0.97    2708.01 Msun
t11_p1.5_q0_oa70_R30_Mcl0.97    4749.74 Msun
t11_p1.5_q0_oa80_R10_Mcl0.97    1117.05 Msun
t11_p1.5_q0_oa80_R20_Mcl0.97    2841.27 Msun
t11_p1.5_q0_oa80_R30_Mcl0.97    4983.68 Msun
t11_p1.5_q1.5_oa10_R10_Mcl0.97    168.662 Msun
t11_p1.5_q1.5_oa10_R20_Mcl0.97    426.432 Msun
t11_p1.5_q1.5_oa10_R30_Mcl0.97    746.749 Msun
t11_p1.5_q1.5_oa20_R10_Mcl0.97    300.352 Msun
t11_p1.5_q1.5_oa20_R20_Mcl0.97    761.851 Msun
t11_p1.5_q1.5_oa20_R30_Mcl0.97    1335.23 Msun
t11_p1.5_q1.5_oa30_R10_Mcl0.97    397.121 Msun
t11_p1.5_q1.5_oa30_R20_Mcl0.97    1008.5 Msun
t11_p1.5_q1.5_oa30_R30_Mcl0.97    1768.15 Msun
t11_p1.5_q1.5_oa40_R10_Mcl0.97    466.917 Msun
t11_p1.5_q1.5_oa40_R20_Mcl0.97    1186.4 Msun
t11_p1.5_q1.5_oa40_R30_Mcl0.97    2080.51 Msun
t11_p1.5_q1.5_oa50_R10_Mcl0.97    516.07 Msun
t11_p1.5_q1.5_oa50_R20_Mcl0.97    1311.82 Msun
t11_p1.5_q1.5_oa50_R30_Mcl0.97    2300.76 Msun
t11_p1.5_q1.5_oa60_R10_Mcl0.97    549.855 Msun
t11_p1.5_q1.5_oa60_R20_Mcl0.97    1398.05 Msun
t11_p1.5_q1.5_oa60_R30_Mcl0.97    2452.02 Msun
t11_p1.5_q1.5_oa70_R10_Mcl0.97    571.929 Msun
t11_p1.5_q1.5_oa70_R20_Mcl0.97    1454.08 Msun
t11_p1.5_q1.5_oa70_R30_Mcl0.97    2550.29 Msun
t11_p1.5_q1.5_oa80_R10_Mcl0.97    584.24 Msun
t11_p1.5_q1.5_oa80_R20_Mcl0.97    1485.65 Msun
t11_p1.5_q1.5_oa80_R30_Mcl0.97    2605.84 Msun
t11_p1.5_q1_oa10_R10_Mcl0.97    175.655 Msun
t11_p1.5_q1_oa10_R20_Mcl0.97    444.056 Msun
t11_p1.5_q1_oa10_R30_Mcl0.97    777.622 Msun
t11_p1.5_q1_oa20_R10_Mcl0.97    324.811 Msun
t11_p1.5_q1_oa20_R20_Mcl0.97    823.772 Msun
t11_p1.5_q1_oa20_R30_Mcl0.97    1443.8 Msun
t11_p1.5_q1_oa30_R10_Mcl0.97    443.801 Msun
t11_p1.5_q1_oa30_R20_Mcl0.97    1126.86 Msun
t11_p1.5_q1_oa30_R30_Mcl0.97    1975.54 Msun
t11_p1.5_q1_oa40_R10_Mcl0.97    536.26 Msun
t11_p1.5_q1_oa40_R20_Mcl0.97    1362.62 Msun
t11_p1.5_q1_oa40_R30_Mcl0.97    2389.38 Msun
t11_p1.5_q1_oa50_R10_Mcl0.97    606.05 Msun
t11_p1.5_q1_oa50_R20_Mcl0.97    1540.37 Msun
t11_p1.5_q1_oa50_R30_Mcl0.97    2701.71 Msun
t11_p1.5_q1_oa60_R10_Mcl0.97    656.869 Msun
t11_p1.5_q1_oa60_R20_Mcl0.97    1669.85 Msun
t11_p1.5_q1_oa60_R30_Mcl0.97    2928.84 Msun
t11_p1.5_q1_oa70_R10_Mcl0.97    691.306 Msun
t11_p1.5_q1_oa70_R20_Mcl0.97    1757.76 Msun
t11_p1.5_q1_oa70_R30_Mcl0.97    3082.66 Msun
t11_p1.5_q1_oa80_R10_Mcl0.97    711.217 Msun
t11_p1.5_q1_oa80_R20_Mcl0.97    1808.61 Msun
t11_p1.5_q1_oa80_R30_Mcl0.97    3172.26 Msun
t11_p1_q0.5_oa10_R10_Mcl0.97    264.46 Msun
t11_p1_q0.5_oa10_R20_Mcl0.97    816.703 Msun
t11_p1_q0.5_oa10_R30_Mcl0.97    1620.44 Msun
t11_p1_q0.5_oa20_R10_Mcl0.97    507.319 Msun
t11_p1_q0.5_oa20_R20_Mcl0.97    1569.11 Msun
t11_p1_q0.5_oa20_R30_Mcl0.97    3113.77 Msun
t11_p1_q0.5_oa30_R10_Mcl0.97    717.653 Msun
t11_p1_q0.5_oa30_R20_Mcl0.97    2220.87 Msun
t11_p1_q0.5_oa30_R30_Mcl0.97    4407.18 Msun
t11_p1_q0.5_oa40_R10_Mcl0.97    893.984 Msun
t11_p1_q0.5_oa40_R20_Mcl0.97    2767.44 Msun
